jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: Installing and starting initial bundles
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: All initial bundles installed and set to start
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Trying to lock C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\lock
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Lock acquired
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFORMACIÓN: Lock acquired. Setting startlevel to 100
2024-06-28T19:59:29,578 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.6
2024-06-28T19:59:29,579 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.6
2024-06-28T19:59:29,579 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.6
2024-06-28T19:59:29,580 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.6
2024-06-28T19:59:29,580 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.6
2024-06-28T19:59:29,580 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.sshd/sshd-osgi/2.12.1
2024-06-28T19:59:29,580 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.sshd/sshd-scp/2.12.1
2024-06-28T19:59:29,581 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.sshd/sshd-sftp/2.12.1
2024-06-28T19:59:29,581 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.jline/jline/3.21.0
2024-06-28T19:59:29,581 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.14/jar/uber
2024-06-28T19:59:29,585 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Installing bundles:
2024-06-28T19:59:29,585 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.bouncycastle/bcpkix-jdk18on/1.77
